,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
277,113.336847,5.440169,158.67158700000005,200.0,2.006275,24.14272,7.8,24.5,60.97927998,9.52789804,5.785333985,1.299057998,0.145094049,0.091499945,2.11884201,3.400029949,0.058617011,5.464506959,4.665595997,0.198972946,0.173289976,12.44526897,4641,17.790822,12.379697,44.594595,31.031031,0,0.25142857492186044,0.7142857088837208
465,120.176568,6.068917,168.54763799999995,200.0,2.125252,22.235647,7.6,22.0,66.78569904,9.066900965,5.510472947,1.241803969,0.247894003,0.092708956,0.429365056,0.463157034,0.062665983,6.089868007000001,5.199528963000001,0.210766051,0.201359995,12.86914495,4844,20.351566,12.161869,48.110001,28.75,0,0.25098039641469205,0.7130124718805019
738,118.024099,5.865798000000002,165.434381,200.0,2.087926,21.987196,8.2,26.1,63.30531795,10.42357401,6.195889952000001,1.461354979,0.347512998,0.122028975,1.821711946,3.426626022,0.068057058,5.858417013,4.660253971,0.217353951,0.208159948,13.56561904,5119,19.779329,12.363638,47.610001,29.76,0,0.2511236403755759,0.7134194131025279
2456,84.46735,7.264191999999999,125.518482,160.0,1.623683,31.885783,10.9,18.4,33.47236698,10.20688302,8.440230962000001,1.142944978,1.748778014,0.046135975,6.173380987000001,0.149423026,0.169187958,7.264192005,5.725635984,0.0,0.0,13.68151396,6957,22.069629,6.007318,65.32,17.780001000000006,1,0.26917900425213875,0.6729475106303467
2514,88.56084399999997,6.597783,130.582965,160.0,1.698336,33.967876000000004,11.5,18.0,34.99438403,8.770126953,8.115006988,1.31370298,0.00163204,0.015112997,5.141046009,0.010715957,0.420486954,6.597783026,5.200371988000001,0.0,0.0,15.01704103,7016,22.57593,6.454314,63.73,18.219999,1,0.2712784014362057,0.6781959959325474
695,125.932272,6.548478,176.80891100000005,200.0,2.223233,18.48518,7.2,28.5,68.143152,11.28162097,6.395872009,0.929974004,0.156944996,0.096955061,0.7903790559999999,3.262800977,0.166853035,6.576858057999999,5.231758986,0.233215999,0.223350996,12.80149294,5077,23.023803,11.511902,51.93945,25.969726,0,0.2507122562391665,0.7122507077711709
1460,114.037328,6.614165,160.792633,210.0,2.03497,9.815586,8.5,32.299999,62.45655998,10.32536694,5.781097022000001,0.876425033,0.06448095,0.210606955,0.385460019,1.32846804,0.094064983,6.566192967,5.469638999,1.217716009,1.166205014,13.66737405,5908,19.781955,11.841636,49.280998,29.5,1,0.2496453926468136,0.7092198558624263
566,111.096966,5.943688,156.14678600000005,200.0,1.98528,16.000054000000002,9.0,33.0,60.39818797,8.818929011,5.396923982000001,1.257368972,0.144084033,0.087821991,2.053799985,2.436240055,0.048740033,5.936228975,4.722152053,0.204597985,0.195942975,14.05321106,4947,17.237984,12.3067,44.080002,31.469999,0,0.2504446873469429,0.7114905714421812
383,123.987763,6.013406,173.644863,260.0,2.167244,17.047329,6.6,28.700001,67.64670803,10.83369203,6.649722025,0.905205058,0.06216105900000001,0.123954945,0.8068499709999999,0.6146390039999999,0.05790800400000001,6.0228789639999984,5.142333968,0.434086043,0.378054973,11.50356495,4748,20.17648,13.533909,46.23,31.01,0,0.25133881443990663,0.7140306995433547
2025,107.42897,4.243444,149.48741299999998,260.0,1.870968,15.764427,7.4,27.0,56.73490797,11.35585496,5.9709610510000015,1.251617023,0.228818994,0.091466964,1.731430953,3.79292899,0.553306024,4.232632022,3.5096980280000003,0.241710984,0.241710984,11.05176902,6495,20.484384,9.620136,54.169998,25.440001,1,0.2529644285168009,0.7186489340075743
102,125.979545,5.795058999999998,176.119406,210.0,2.202237,21.417647,6.6,26.25,71.01934296,9.523405041,5.829731022000001,0.988907965,0.203551941,0.084228006,1.154207059,4.1095519760000006,0.03272696,5.821338042000001,4.970258029,0.221193992,0.192643954,11.68930603,4446,20.907569,12.778048,47.147733,28.815212,0,0.251788272554133,0.7153075737718534
2798,123.280639,6.533874,173.209299,200.0,2.17191,18.024985,7.5,28.0,66.71601698,11.29583898,6.370903955,1.236248051,0.36021303600000004,0.155493052,2.549712061,3.747581042,0.020506957,6.507609004,5.193071988,0.734079041,0.696261936,12.99069701,7302,22.960181,11.855456,52.91,27.32,1,0.25053381227528665,0.7117437672904617
968,117.182356,5.624753,164.0553,200.0,2.076262,19.370412,8.5,26.799999,63.11297301,9.488895992,6.745519947000001,1.287049978,0.077271009,0.172974982,1.47956904,3.527430023,0.26695604300000003,5.617667042999999,4.468741946000001,0.215802956,0.206674959,13.94470001,5370,19.873378,11.928977,48.18,28.92,0,0.2514285731701445,0.7142857073194222
1422,114.148406,6.848903999999999,161.17755,200.0,2.043601,13.146937,8.3,34.400002,61.66301404,9.205126953999999,5.214936956,1.659350011,0.52007298,0.17850197,1.600592024,0.510033975,0.020692981000000003,6.865613971,5.719055989,0.210994982,0.202069056,13.427147,5865,18.093162,12.544271,45.029999,31.219999,1,0.2492917903268787,0.7082152942515878
2735,123.628048,7.108613,174.253734,200.0,2.1789080000000003,12.492563,6.7,33.0,66.83243199,11.25787102,6.519035969,1.253292006,0.354756987,0.152597016,2.473509026,0.68572805,0.008077769,7.126999955,5.687345982,0.381948001,0.36583397,11.72970906,7151,21.871681,12.789668,50.259998,29.389999,1,0.2497339540511654,0.7094714423737972
1549,115.955661,5.797783,162.56983799999998,200.0,2.036603,18.143962,6.5,28.299999,62.67607794,9.292981054,6.4352899689999985,1.477338948,0.367602994,0.14193195,1.78136297,3.812658049,0.062697019,5.839422977999999,4.864239953999999,0.215348994,0.206239979,10.65633799,6001,19.387787,12.236755,47.5,29.98,1,0.2510699063377304,0.7132667561617427
2625,119.066436,6.429588,167.40741,200.0,2.108922,19.155265,8.0,24.299999,64.22122998,10.57074297,6.050960036,1.266198992,0.33237806,0.140975972,1.961596955,3.46397299,0.019861011,6.416097026,5.120045041,0.366703045,0.35125702200000003,13.39259304,7127,22.648914,11.311883,54.040001,26.99,1,0.2503556264325456,0.7112375491622505
2190,113.739371,6.483144,160.258774,200.0,2.022606,19.214753,7.7,26.75,60.42485302,10.00067395,5.8638689789999985,1.173799024,0.124962946,0.147678039,0.809693032,0.542559031,0.163068978,6.499664977999999,5.123036009,0.350436055,0.33561198200000003,12.39721397,6661,19.97409,11.13008,49.889999,27.799999,1,0.24982257757693815,0.7097232067930334
192,116.46551,5.9397410000000015,163.401112,200.0,2.062265,24.849157,7.8,23.1,65.34980604,8.030352004,5.010796043,1.295347005,0.194432959,0.057711035,1.926403035,0.8636120009999999,0.08815501699999999,5.955320006,5.084652013,0.204088946,0.177745008,12.79257902,4540,19.989581,10.917197,48.759998,26.629999,0,0.25089095476902257,0.7127583684987407
1424,113.316154,6.685653,159.889094,200.0,2.0179400000000003,13.146935999999998,7.8,31.5,61.21214796,9.137228964,5.17035396,1.643563991,0.516284014,0.17702094699999998,1.588947965,0.506322949,0.020543045,6.702073043,5.582826956,0.209459969,0.200599024,12.51762605,5867,18.914551,11.898378,47.419998,29.83,1,0.24946846593551905,0.7087172186991065
1266,109.715538,5.924639,163.103116,200.0,2.010941,31.23141,5.7,19.83,55.74560699999999,11.13506002,5.60024004,1.342914964,0.19364003,0.218328038,0.0,0.027845971,0.0,5.924638953,4.93522402,0.0,0.0,9.296878046,5686,25.971721,10.778833,54.720001,22.709999,1,0.2909995845818176,0.6726759162590125
2263,119.050832,6.8454229999999985,167.802149,200.0,2.097258,13.801308,6.7,27.200001,64.308805,10.54710006,6.1208219810000015,1.196307053,0.330655045,0.168593944,0.023860998,1.005706991,0.163110946,6.859969031,5.407026999,0.366645951,0.351136026,11.29015998,6739,20.952947,11.360688,50.0,27.110001,1,0.2497339530496717,0.7094714382948696
